cidade,referencia_cidade
abadia de goias,1
abadia dos dourados,2
abadiania,3
abaete,4
abaetetuba,5
abaiara,6
abaira,7
abare,8
abatia,9
abdon batista,10
abelardo luz,11
abrantes,12
abre campo,13
abreu e lima,14
acaiaca,15
acailandia,16
acajutiba,17
acarau,18
acari,19
acegua,20
acopiara,21
acreuna,22
acu,23
acucena,24
adamantina,25
adhemar de barros,26
adolfo,27
adrianopolis,28
adustina,29
afogados da ingazeira,30
afonso claudio,31
afranio,32
agisse,33
agrestina,34
agrolandia,35
agronomica,36
agua boa,37
agua branca,38
agua clara,39
agua comprida,40
agua doce,41
agua doce do norte,42
agua fria de goias,43
agua limpa,44
agua nova,45
agua preta,46
agua santa,47
aguai,48
aguas belas,49
aguas claras,50
aguas claras df,51
aguas da prata,52
aguas de lindoia,53
aguas de santa barbara,54
aguas de sao pedro,55
aguas formosas,56
aguas frias,57
aguas lindas de goias,58
aguas mornas,59
aguas vermelhas,60
agudo,61
agudos,62
aguia branca,63
aimores,64
aiuaba,65
aiuruoca,66
ajapi,67
ajuricaba,68
alagoa,69
alagoa grande,70
alagoa nova,71
alagoinha,72
alagoinhas,73
alambari,74
alcantara,75
alcinopolis,76
alcobaca,77
alegre,78
alegrete,79
alegrete do piaui,80
alegria,81
alem paraiba,82
alexandra,83
alexandria,84
alexandrita,85
alexania,86
alfenas,87
alfredo chaves,88
alfredo marcondes,89
alfredo vasconcelos,90
alfredo wagner,91
alhandra,92
alianca,93
alianca do tocantins,94
almas,95
almenara,96
almino afonso,97
almirante tamandare,98
almirante tamandare do sul,99
alpercata,100
alpestre,101
alpinopolis,102
alta floresta,103
alta floresta d'oeste,104
altamira,105
altamira do parana,106
altaneira,107
alterosa,108
altinho,109
altinopolis,110
alto alegre,111
alto alegre do iguacu,112
alto alegre do maranhao,113
alto alegre do pindare,114
alto araguaia,115
alto bela vista,116
alto boa vista,117
alto caparao,118
alto do rodrigues,119
alto garcas,120
alto horizonte,121
alto jequitiba,122
alto paraiso,123
alto paraiso de goias,124
alto parana,125
alto parnaiba,126
alto piquiri,127
alto rio doce,128
alto rio novo,129
alto santo,130
alto sao joao,131
alto taquari,132
altonia,133
altos,134
aluminio,135
alvarenga,136
alvares florence,137
alvares machado,138
alvaro de carvalho,139
alvinopolis,140
alvorada,141
alvorada d'oeste,142
alvorada do gurgueia,143
alvorada do norte,144
amambai,145
amanari,146
amapa do maranhao,147
amapora,148
amaraji,149
amarante,150
amargosa,151
amelia rodrigues,152
america dourada,153
americana,154
americano do brasil,155
americo brasiliense,156
americo de campos,157
ametista do sul,158
amontada,159
amparo,160
amparo da serra,161
ampere,162
anadia,163
anage,164
analandia,165
ananas,166
ananindeua,167
anapolis,168
anastacio,169
anaurilandia,170
anchieta,171
andarai,172
andira,173
andira-pr,174
andorinha,175
andradas,176
andradina,177
andre da rocha,178
andrelandia,179
andrequice,180
angatuba,181
angelica,182
angelina,183
angelo frechiani,184
angical,185
angical do piaui,186
angicos,187
angra dos reis,188
angra dos reis rj,189
anguera,190
angulo,191
angustura,192
anhandui,193
anhembi,194
anhumas,195
anicuns,196
anita garibaldi,197
anitapolis,198
anta,199
anta gorda,200
antonina,201
antonina do norte,202
antonio cardoso,203
antonio carlos,204
antonio goncalves,205
antonio martins,206
antonio pereira,207
antonio prado,208
antonio prado de minas,209
antunes,210
ao bernardo do campo,211
aparecida,212
aparecida d'oeste,213
aparecida de goiania,214
aparecida de monte alto,215
aparecida de sao manuel,216
aparecida do rio negro,217
aparecida do taboado,218
aperibe,219
apiaca,220
apiacas,221
apiai,222
apiuna,223
apodi,224
apora,225
apore,226
apuarema,227
apucarana,228
apuiares,229
aquidaba,230
aquidauana,231
aquiraz,232
aracaju,233
aracariguama,234
aracati,235
aracatu,236
aracatuba,237
arace,238
araci,239
aracitaba,240
aracoiaba,241
aracoiaba da serra,242
aracruz,243
aracuai,244
aragarcas,245
aragoiania,246
araguacu,247
araguaia,248
araguaina,249
araguana,250
araguapaz,251
araguari,252
araguatins,253
aramari,254
arame,255
aramina,256
arandu,257
arantina,258
arapei,259
arapiraca,260
arapoema,261
araponga,262
arapongas,263
arapora,264
arapoti,265
arapua,266
araputanga,267
araquari,268
arara,269
ararangua,270
araraquara,271
araras,272
arari,273
ararica,274
araripe,275
araripina,276
araruama,277
araruna,278
arataca,279
aratiba,280
aratuba,281
araucaria,282
araujos,283
araxa,284
arceburgo,285
arcos,286
arcoverde,287
areado,288
areal,289
arealva,290
areia,291
areia branca,292
areia branca dos assis,293
areial,294
areias,295
areiopolis,296
arembepe,297
arenapolis,298
arenopolis,299
aribice,300
arinos,301
aripuana,302
ariquemes,303
ariranha,304
armacao dos buzios,305
armazem,306
arneiroz,307
aroeiras,308
arraial d ajuda,309
arraial d'ajuda,310
arraial d'ajuda (porto seguro),311
arraial do cabo,312
arraias,313
arroio do meio,314
arroio do sal,315
arroio do tigre,316
arroio dos ratos,317
arroio grande,318
arroio trinta,319
arrozal,320
artur nogueira,321
aruana,322
aruja,323
arvoredo,324
arvorezinha,325
ascurra,326
assai,327
assare,328
assis,329
assis chateaubriand,330
assuncao,331
astolfo dutra,332
astorga,333
atalaia,334
atalanta,335
ataleia,336
atibaia,337
atilio vivacqua,338
augustinopolis,339
augusto correa,340
augusto pestana,341
aurea,342
auriflama,343
auriflama/sp,344
aurilandia,345
aurora,346
aurora do para,347
avai,348
avanhandava,349
avare,350
avelar,351
avelino lopes,352
azurita,353
bacabal,354
bacaxa,355
bacuri,356
bady bassitt,357
baependi,358
bage,359
baguari,360
bahia,361
baianopolis,362
baixa grande,363
baixa grande do ribeiro,364
baixo guandu,365
balbinos,366
baldim,367
balenario camboriu,368
balneario arroio do silva,369
balneario barra do sul,370
balneario camboriu,371
balneario gaivota,372
balneario picarras,373
balneario pinhal,374
balneario rincao,375
balsa nova,376
balsamo,377
balsas,378
bambui,379
banabuiu,380
bananal,381
bananeiras,382
bandeira,383
bandeira do sul,384
bandeirantes,385
bandeirantes d'oeste,386
bandeirantes do tocantins,387
banzae,388
barao,389
barao ataliba nogueira,390
barao de cocais,391
barao de cotegipe,392
barao de juparana,393
barao do triunfo,394
barauna,395
barbacena,396
barbacena/ minas gerais,397
barbalha,398
barbosa ferraz,399
barcarena,400
bariri,401
barra,402
barra bonita,403
barra da estiva,404
barra de guabiraba,405
barra de santa rosa,406
barra de santo antonio,407
barra de sao francisco,408
barra de sao joao,409
barra de sao miguel,410
barra do bugres,411
barra do choca,412
barra do corda,413
barra do garcas,414
barra do jacare,415
barra do mendes,416
barra do pirai,417
barra do ribeiro,418
barra do rio azul,419
barra do tarrachil,420
barra do turvo,421
barra dos coqueiros,422
barra longa,423
barra mansa,424
barra velha,425
barracao,426
barras,427
barreira,428
barreiras,429
barreirinhas,430
barreiros,431
barretos,432
barrinha,433
barro,434
barro alto,435
barro preto,436
barrocas,437
barrolandia,438
barros cassal,439
barroso,440
barueri,441
bastos,442
bataguassu,443
bataipora,444
batalha,445
batatais,446
bataypora,447
baturite,448
bauru,449
bayeux,450
bebedouro,451
beberibe,452
bela cruz,453
bela vista,454
bela vista de goias,455
bela vista de minas,456
bela vista do maranhao,457
bela vista do paraiso,458
belem,459
belem do sao francisco,460
belford roxo,461
belmonte,462
belo campo,463
belo horizont,464
belo horizonte,465
belo jardim,466
belo oriente,467
belo vale,468
bemposta,469
benedito leite,470
benedito novo,471
benevides,472
bento de abreu,473
bento goncalves,474
bequimao,475
berilo,476
berizal,477
bernardino de campos,478
bertioga,479
bertolinia,480
bertopolis,481
betim,482
bezerros,483
bias fortes,484
bicas,485
biguacu,486
bilac,487
birigui,488
biritiba-mirim,489
biritinga,490
bituruna,491
blumenau,492
boa esperanca,493
boa esperanca do iguacu,494
boa esperanca do sul,495
boa ventura,496
boa viagem,497
boa vista,498
boa vista da aparecida,499
boa vista das missoes,500
boa vista do burica,501
boa vista do cadeado,502
boa vista do gurupi,503
boa vista do sul,504
boca da mata,505
bocaina,506
bocaiuva,507
bocaiuva do sul,508
bodo,509
bodoco,510
bodoquena,511
bofete,512
boituva,513
bom conselho,514
bom despacho,515
bom jardim,516
bom jardim de goias,517
bom jardim de minas,518
bom jesus,519
bom jesus da lapa,520
bom jesus da penha,521
bom jesus da serra,522
bom jesus das selvas,523
bom jesus do amparo,524
bom jesus do araguaia,525
bom jesus do galho,526
bom jesus do itabapoana,527
bom jesus do norte,528
bom jesus do querendo,529
bom jesus do sul,530
bom jesus do tocantins,531
bom jesus dos perdoes,532
bom principio,533
bom repouso,534
bom retiro,535
bom retiro do sul,536
bom sucesso,537
bombinhas,538
bonfim,539
bonfim paulista,540
bonfinopolis,541
bonfinopolis de minas,542
boninal,543
bonito,544
bonito de minas,545
bonito de santa fe,546
boqueirao do leao,547
boquim,548
boquira,549
bora,550
boraceia,551
borborema,552
borda da mata,553
borrazopolis,554
bossoroca,555
botelho,556
botelhos,557
botucatu,558
botupora,559
botuvera,560
braco do norte,561
braco do rio,562
braganca,563
braganca paulista,564
bras pires,565
brasil novo,566
brasilandia,567
brasilandia de minas,568
brasileia,569
brasilia,570
brasilia de minas,571
brasilia df,572
brasopolis,573
brauna,574
braunas,575
brazabrantes,576
brazopolis,577
brejao,578
brejetuba,579
brejo,580
brejo bonito,581
brejo da madre de deus,582
brejo do cruz,583
brejo dos santos,584
brejo grande,585
brejo santo,586
brejoes,587
brejolandia,588
breu branco,589
breves,590
britania,591
brodowski,592
brotas,593
brotas de macaubas,594
brumadinho,595
brumado,596
brusque,597
bueno brandao,598
buenopolis,599
buenos aires,600
buerarema,601
bugre,602
buique,603
buri,604
buritama,605
buriti,606
buriti alegre,607
buriti do tocantins,608
buriti dos lopes,609
buriticupu,610
buritirama,611
buritis,612
buritizal,613
buritizeiro,614
butia,615
caarapo,616
cabaceiras do paraguacu,617
cabeceira grande,618
cabeceiras,619
cabedelo,620
cabixi,621
cabo de santo agostinho,622
cabo frio,623
cabo verde,624
cabralia paulista,625
cabreuva,626
cabrobo,627
cacador,628
cacapava,629
cacapava do sul,630
cacaulandia,631
cacequi,632
caceres,633
cachoeira,634
cachoeira alta,635
cachoeira da prata,636
cachoeira de minas,637
cachoeira de pajeu,638
cachoeira do brumado,639
cachoeira do campo,640
cachoeira do sul,641
cachoeira dourada,642
cachoeira paulista,643
cachoeiras de macacu,644
cachoeirinha,645
cachoeiro de itapemirim,646
cacimbinhas,647
cacoal,648
caconde,649
cacu,650
cacule,651
caem,652
caetanopolis,653
caetanos,654
caete,655
caetes,656
caetite,657
cafeara,658
cafelandia,659
caiana,660
caiaponia,661
caibate,662
caibi,663
caicara do norte,664
caico,665
caieiras,666
cairu,667
caiua,668
cajamar,669
cajapio,670
cajari,671
cajati,672
cajazeiras,673
cajobi,674
cajueiro,675
cajuri,676
cajuru,677
calcado,678
caldas,679
caldas brandao,680
caldas do jorro,681
caldas novas,682
caldeirao grande,683
caldeirao grande do piaui,684
california,685
california da barra,686
calmon,687
camacan,688
camacari,689
camacho,690
camamu,691
camanducaia,692
camapua,693
camaqua,694
camaragibe,695
cambara,696
cambara do sul,697
cambe,698
cambiasca,699
cambira,700
camboriu,701
cambuci,702
cambui,703
cambuquira,704
cameta,705
camocim,706
camocim de sao felix,707
campanario,708
campanha,709
campestre,710
campestre da serra,711
campestre do maranhao,712
campina da lagoa,713
campina das missoes,714
campina do monte alegre,715
campina grande,716
campina grande do sul,717
campina verde,718
campinacu,719
campinapolis,720
campinas,721
campinas do sul,722
campinorte,723
campo alegre,724
campo alegre de goias,725
campo alegre de lourdes,726
campo alegre de minas,727
campo alegre do fidalgo,728
campo azul,729
campo belo,730
campo bom,731
campo bonito,732
campo do brito,733
campo do meio,734
campo do tenente,735
campo ere,736
campo florido,737
campo formoso,738
campo grande,739
campo grande do piaui,740
campo largo,741
campo limpo paulista,742
campo magro,743
campo maior,744
campo mourao,745
campo novo,746
campo novo do parecis,747
campo verde,748
campos altos,749
campos belos,750
campos borges,751
campos de julio,752
campos do jordao,753
campos dos goytacazes,754
campos gerais,755
campos novos,756
campos sales,757
campos verdes,758
camutanga,759
canaa,760
canaa dos carajas,761
cananeia,762
canapi,763
canapolis,764
canarana,765
canavieiras,766
candeal,767
candeias,768
candeias do jamari,769
candelaria,770
candido de abreu,771
candido godoi,772
candido mendes,773
candido mota,774
candido rodrigues,775
candido sales,776
candiota,777
candoi,778
canela,779
canelinha,780
cangucu,781
canhotinho,782
caninde,783
caninde de sao francisco,784
canitar,785
canoas,786
canoinhas,787
cansancao,788
cantagalo,789
cantanhede,790
canto do buriti,791
canudos,792
capanema,793
capao bonito,794
capao da canoa,795
capao da porteira,796
capao do cipo,797
capao do leao,798
caparao,799
capela,800
capela de santana,801
capela do alto,802
capela do alto alegre,803
capela nova,804
capelinha,805
capetinga,806
capim branco,807
capim grosso,808
capinopolis,809
capinzal,810
capinzal do norte,811
capistrano,812
capitao,813
capitao andrade,814
capitao eneas,815
capitao leonidas marques,816
capitao poco,817
capitolio,818
capivari,819
capivari de baixo,820
capivari do sul,821
capoeiras,822
caputira,823
caracol,824
caraguatatuba,825
carai,826
caraiba,827
caraibas,828
carajas,829
carambei,830
carandai,831
carangola,832
carapebus,833
carapicuiba,834
carapicuiba / sao paulo,835
caratinga,836
caraubas,837
caravelas,838
carazinho,839
carbonita,840
cardoso,841
cardoso moreira,842
careacu,843
cariacica,844
cariacica / es,845
caridade,846
carinhanha,847
carire,848
cariri do tocantins,849
caririacu,850
carius,851
carlinda,852
carlopolis,853
carlos barbosa,854
carlos chagas,855
carmesia,856
carmo,857
carmo da cachoeira,858
carmo da mata,859
carmo de minas,860
carmo do cajuru,861
carmo do paranaiba,862
carmo do rio claro,863
carmo do rio verde,864
carmolandia,865
carmopolis,866
carmopolis de minas,867
carnaiba do sertao,868
carnauba dos dantas,869
carnaubais,870
carnaubal,871
carneirinho,872
carolina,873
carpina,874
carrancas,875
caruaru,876
carutapera,877
carvalhopolis,878
casa branca,879
casa nova,880
casca,881
cascalho rico,882
cascavael,883
cascavel,884
caseiros,885
casimiro de abreu,886
cassia,887
cassia dos coqueiros,888
cassilandia,889
castanhal,890
castanheira,891
castanheiras,892
castelandia,893
castelo,894
castelo do piaui,895
castilho,896
castro,897
castro alves,898
castro pires,899
cataguases,900
catalao,901
catanduva,902
catanduvas,903
catarina,904
catas altas,905
catende,906
catigua,907
catole do rocha,908
catu,909
catu de abrantes,910
catuipe,911
caturama,912
caucaia,913
cavalcante,914
caxambu,915
caxambu do sul,916
caxias,917
caxias do sul,918
caxingo,919
ceara-mirim,920
cedral,921
cedro,922
cedro de sao joao,923
cedro do abaete,924
ceilandia,925
celina,926
celso ramos,927
centenario,928
centenario do sul,929
central,930
central de santa helena,931
centralina,932
centro,933
centro novo do maranhao,934
cerejeiras,935
ceres,936
cerqueira cesar,937
cerquilho,938
cerrito,939
cerro azul,940
cerro grande,941
cerro grande do sul,942
cerro largo,943
cerro negro,944
cesario lange,945
ceu azul,946
cezarina,947
cha de alegria,948
cha grande,949
chacara,950
chale,951
chapada,952
chapada do norte,953
chapada dos guimaraes,954
chapada gaucha,955
chapadao do ceu,956
chapadao do lageado,957
chapadao do sul,958
chapadinha,959
chapeco,960
charqueada,961
charqueadas,962
charrua,963
chaval,964
chavantes,965
chaveslandia,966
chiapetta,967
chopinzinho,968
chorozinho,969
chorrocho,970
chui,971
cianorte,972
cicero dantas,973
cidade gaucha,974
cidade ocidental,975
cidelandia,976
cidreira,977
cipo,978
cipo-guacu,979
ciriaco,980
claraval,981
claro dos pocoes,982
claudia,983
claudio,984
clementina,985
clevelandia,986
coaraci,987
coari,988
cocais,989
cocal,990
cocal do sul,991
cocalinho,992
cocalzinho de goias,993
cocos,994
codo,995
coelho neto,996
coimbra,997
coite do noia,998
colatina,999
colider,1000
colina,1001
colinas,1002
colinas do tocantins,1003
colmeia,1004
colniza,1005
colombia,1006
colombo,1007
colonia castrolanda,1008
colonia jordaozinho,1009
colonia leopoldina,1010
colonia vitoria,1011
colorado,1012
colorado do oeste,1013
coluna,1014
combinado,1015
comendador levy gasparian,1016
comercinho,1017
comodoro,1018
conceicao,1019
conceicao da aparecida,1020
conceicao da barra,1021
conceicao da feira,1022
conceicao da ibitipoca,1023
conceicao das alagoas,1024
conceicao das pedras,1025
conceicao de macabu,1026
conceicao do almeida,1027
conceicao do araguaia,1028
conceicao do caninde,1029
conceicao do castelo,1030
conceicao do coite,1031
conceicao do formoso,1032
conceicao do jacuipe,1033
conceicao do mato dentro,1034
conceicao do para,1035
conceicao do rio verde,1036
conceicao do tocantins,1037
conceicao dos ouros,1038
conchal,1039
conchas,1040
concordia,1041
concordia do para,1042
condado,1043
conde,1044
condeuba,1045
condor,1046
confins,1047
confresa,1048
congonhal,1049
congonhas,1050
congonhinhas,1051
conquista,1052
conquista d'oeste,1053
conrado,1054
conselheiro lafaiete,1055
conselheiro mairinck,1056
conselheiro pena,1057
conservatoria,1058
constantina,1059
contagem,1060
contenda,1061
coqueiro baixo,1062
coqueiros do sul,1063
coracao de jesus,1064
coracao de maria,1065
corbelia,1066
cordeiro,1067
cordeiropolis,1068
cordeiros,1069
cordilheira alta,1070
coreau,1071
coremas,1072
corguinho,1073
coribe,1074
corinto,1075
cornelio procopio,1076
coroaci,1077
coroados,1078
coroata,1079
coromandel,1080
coronel domingos soares,1081
coronel fabriciano,1082
coronel freitas,1083
coronel joao pessoa,1084
coronel joao sa,1085
coronel macedo,1086
coronel martins,1087
coronel murta,1088
coronel pacheco,1089
coronel sapucaia,1090
coronel vivida,1091
corrego danta,1092
corrego do ouro,1093
corrego fundo,1094
correia pinto,1095
corrente,1096
correntes,1097
correntina,1098
cortes,1099
corumba,1100
corumba de goias,1101
corumbaiba,1102
corumbatai,1103
corumbatai do sul,1104
corupa,1105
coruripe,1106
cosmopolis,1107
cosmorama,1108
costa marques,1109
costa rica,1110
cotegipe,1111
cotia,1112
cotipora,1113
cotriguacu,1114
couto de magalhaes,1115
coxilha,1116
coxim,1117
crateus,1118
crato,1119
cravinhos,1120
cravolandia,1121
criciuma,1122
crisolita,1123
crisopolis,1124
crissiumal,1125
cristais,1126
cristais paulista,1127
cristal,1128
cristalandia,1129
cristalia,1130
cristalina,1131
cristiano otoni,1132
cristina,1133
cristinapolis,1134
cristopolis,1135
crixas,1136
croata,1137
crominia,1138
crucilandia,1139
cruz,1140
cruz alta,1141
cruz das almas,1142
cruz machado,1143
cruzalia,1144
cruzeiro,1145
cruzeiro da fortaleza,1146
cruzeiro do iguacu,1147
cruzeiro do oeste,1148
cruzeiro do sul,1149
cruzilia,1150
cubatao,1151
cubati,1152
cuiaba,1153
cuite,1154
cuite velho,1155
cujubim,1156
cumari,1157
cumaru,1158
cunha,1159
cunha pora,1160
cupira,1161
curaca,1162
curitiba,1163
curitibanos,1164
curiuva,1165
currais novos,1166
curral de cima,1167
curralinho,1168
curuca,1169
cururupu,1170
curvelandia,1171
curvelo,1172
custodia,1173
damianopolis,1174
dario meira,1175
datas,1176
david canabarro,1177
delfim moreira,1178
delfinopolis,1179
delmiro gouveia,1180
demerval lobao,1181
denise,1182
deodapolis,1183
deputado irapuan pinheiro,1184
descalvado,1185
descoberto,1186
desembargador otoni,1187
desterro,1188
desterro de entre rios,1189
desterro do melo,1190
dezesseis de novembro,1191
diadema,1192
diamante d'oeste,1193
diamante do norte,1194
diamantina,1195
diamantino,1196
dianopolis,1197
dias d avila,1198
dias d'avila,1199
diogo de vasconcelos,1200
dionisio,1201
dionisio cerqueira,1202
diorama,1203
divinesia,1204
divino,1205
divino das laranjeiras,1206
divino de sao lourenco,1207
divinolandia,1208
divinolandia de minas,1209
divinopolis,1210
divinopolis de goias,1211
divinopolis do tocantins,1212
divisa alegre,1213
divisa nova,1214
dobrada,1215
doce grande,1216
dois corregos,1217
dois irmaos,1218
dois irmaos do buriti,1219
dois riachos,1220
dois vizinhos,1221
dom aquino,1222
dom basilio,1223
dom cavati,1224
dom eliseu,1225
dom feliciano,1226
dom joaquim,1227
dom macedo costa,1228
dom pedrito,1229
dom pedro,1230
dom silverio,1231
dom vicoso,1232
domiciano ribeiro,1233
domingos martins,1234
dona emma,1235
dona euzebia,1236
dona francisca,1237
dores de campos,1238
dores de guanhaes,1239
dores do indaia,1240
dores do rio preto,1241
dormentes,1242
douradina,1243
dourado,1244
dourados,1245
doutor camargo,1246
doutor mauricio cardoso,1247
doutor ulysses,1248
doverlandia,1249
dracena,1250
duartina,1251
duas barras,1252
duere,1253
dumont,1254
duque de caxias,1255
durande,1256
echapora,1257
ecoporanga,1258
edeia,1259
eldorado,1260
eldorado do sul,1261
elias fausto,1262
eliseu martins,1263
elisiario,1264
elisio medrado,1265
eloi mendes,1266
embauba,1267
embu,1268
embu das artes,1269
embu guacu,1270
embu-guacu,1271
emilianopolis,1272
encantado,1273
encruzilhada do sul,1274
eneas marques,1275
engenheiro balduino,1276
engenheiro beltrao,1277
engenheiro coelho,1278
engenheiro navarro,1279
engenheiro passos,1280
engenheiro paulo de frontin,1281
entre folhas,1282
entre rios,1283
entre rios de minas,1284
entre rios do oeste,1285
entre-ijuis,1286
epitaciolandia,1287
erebango,1288
erechim,1289
erere,1290
erico cardoso,1291
erval grande,1292
ervalia,1293
escada,1294
esmeralda,1295
esmeraldas,1296
espera feliz,1297
esperanca,1298
esperantina,1299
esperantinopolis,1300
espigao,1301
espigao alto do iguacu,1302
espigao do oeste,1303
espinosa,1304
espirito santo do pinhal,1305
espirito santo do turvo,1306
esplanada,1307
espumoso,1308
estacao,1309
estancia,1310
estancia velha,1311
esteio,1312
estevao de araujo,1313
estiva,1314
estiva gerbi,1315
estreito,1316
estrela,1317
estrela d oeste,1318
estrela d'oeste,1319
estrela do indaia,1320
estrela do norte,1321
estrela do sul,1322
estrela velha,1323
euclides da cunha,1324
euclides da cunha paulista,1325
eugenio de castro,1326
eugenopolis,1327
eunapolis,1328
eusebio,1329
ewbank da camara,1330
extrema,1331
extremoz,1332
fagundes,1333
farol,1334
farroupilha,1335
fartura,1336
fatima,1337
fatima do sul,1338
faxinal,1339
faxinal dos guedes,1340
faxinalzinho,1341
fazenda nova,1342
fazenda rio grande,1343
fazenda vilanova,1344
feira de santana,1345
feira nova,1346
felicio dos santos,1347
felipe guerra,1348
felisburgo,1349
felixlandia,1350
feliz,1351
feliz deserto,1352
feliz natal,1353
fenix,1354
fernando prestes,1355
fernandopolis,1356
fernao,1357
ferraz de  vasconcelos,1358
ferraz de vasconcelos,1359
ferreiros,1360
ferros,1361
fervedouro,1362
figueira,1363
figueiropolis d'oeste,1364
filadelfia,1365
firminopolis,1366
flor da serra do sul,1367
flora rica,1368
florai,1369
florania,1370
floranopolis,1371
floreal,1372
flores,1373
flores da cunha,1374
flores de goias,1375
floresta,1376
floresta do araguaia,1377
florestal,1378
florestopolis,1379
floriano,1380
florianopolis,1381
florida,1382
florida paulista,1383
florinia,1384
fonseca,1385
fontoura xavier,1386
formiga,1387
formigueiro,1388
formosa,1389
formosa da serra negra,1390
formosa do oeste,1391
formosa do rio preto,1392
formoso,1393
formoso do araguaia,1394
forquilha,1395
forquilhinha,1396
fortaleza,1397
fortaleza dos valos,1398
fortim,1399
fortuna,1400
foz do iguacu,1401
foz do jordao,1402
fragosos,1403
fraiburgo,1404
franca,1405
francisco badaro,1406
francisco beltrao,1407
francisco dantas,1408
francisco dumont,1409
francisco morato,1410
francisco sa,1411
francisco santos,1412
franco da rocha,1413
frecheirinha,1414
frederico westphalen,1415
frei gaspar,1416
frei inocencio,1417
frei lagonegro,1418
frei martinho,1419
frei rogerio,1420
fronteira,1421
fronteiras,1422
fruta de leite,1423
frutal,1424
frutuoso gomes,1425
fundao,1426
gabriel monteiro,1427
galia,1428
galinhos,1429
galvao,1430
gama,1431
gameleira,1432
gameleiras,1433
gandu,1434
garanhuns,1435
garca,1436
garibaldi,1437
garopaba,1438
garrafao do norte,1439
garruchos,1440
garulhos,1441
garuva,1442
gaspar,1443
gastao vidigal,1444
gaucha do norte,1445
